a,b,c,d
0,0,0,0
0.001001001001001,7.00699998596494e-06,1.00200300400501e-06,0.001001001001001
0.002002002002002,2.79999157755793e-05,4.00801201602002e-06,0.002002002002002
0.003003003003003,6.29366211164225e-05,9.01802703604505e-06,0.003003003003003
0.004004004004004,0.000111774989756074,1.60320480640801e-05,0.004004004004004
0.005005005005005,0.000174472895442113,2.50500751001251e-05,0.005005005005005
0.00600600600600601,0.000250988211922119,3.60721081441802e-05,0.00600600600600601
0.00700700700700701,0.000341278812943671,4.90981471962453e-05,0.00700700700700701
0.00800800800800801,0.000445302572254349,6.41281922563204e-05,0.00800800800800801
0.00900900900900901,0.000563017363601732,8.11622433244055e-05,0.00900900900900901
0.01001001001001,0.000694381060733399,0.000100200300400501,0.01001001001001
0.011011011011011,0.00083935153739693,0.000121242363484606,0.011011011011011
0.012012012012012,0.000997886667339904,0.000144288432576721,0.012012012012012
0.013013013013013,0.0011699443243099,0.000169338507676846,0.013013013013013
0.014014014014014,0.0013554823820545,0.000196392588784981,0.014014014014014
0.015015015015015,0.00155445871432128,0.000225450675901126,0.015015015015015
0.016016016016016,0.00176683119485782,0.000256512769025282,0.016016016016016
0.017017017017017,0.0019925576974117,0.000289578868157447,0.017017017017017
0.018018018018018,0.0022315960957305,0.000324648973297622,0.018018018018018
0.019019019019019,0.0024839042635618,0.000361723084445807,0.019019019019019
0.02002002002002,0.00274944007465318,0.000400801201602002,0.02002002002002
0.021021021021021,0.00302816140275221,0.000441883324766208,0.021021021021021
0.022022022022022,0.00332002612160648,0.000484969453938423,0.022022022022022
0.023023023023023,0.00362499210496357,0.000530059589118648,0.023023023023023
0.024024024024024,0.00394301722657105,0.000577153730306883,0.024024024024024
0.025025025025025,0.00427405936017651,0.000626251877503129,0.025025025025025
0.026026026026026,0.00461807637952752,0.000677354030707384,0.026026026026026
0.027027027027027,0.00497502615837167,0.00073046018991965,0.027027027027027
0.028028028028028,0.00534486657045652,0.000785570355139925,0.028028028028028
0.029029029029029,0.00572755548952968,0.00084268452636821,0.029029029029029
0.03003003003003,0.0061230507893387,0.000901802703604505,0.03003003003003
0.031031031031031,0.00653131034363117,0.000962924886848811,0.031031031031031
0.032032032032032,0.00695229202615468,0.00102605107610113,0.032032032032032
0.033033033033033,0.00738595371065679,0.00109118127136145,0.033033033033033
0.034034034034034,0.0078322532708851,0.00115831547262979,0.034034034034034
0.035035035035035,0.00829114858058717,0.00122745367990613,0.035035035035035
0.036036036036036,0.00876259751351059,0.00129859589319049,0.036036036036036
0.037037037037037,0.00924655794340294,0.00137174211248285,0.037037037037037
0.038038038038038,0.00974298774401179,0.00144689233778323,0.038038038038038
0.039039039039039,0.0102518447890847,0.00152404656909161,0.039039039039039
0.04004004004004,0.0107730869523693,0.00160320480640801,0.04004004004004
0.041041041041041,0.0113066721076132,0.00168436704973242,0.041041041041041
0.042042042042042,0.0118525581285639,0.00176753329906483,0.042042042042042
0.043043043043043,0.0124107028889689,0.00185270355440526,0.043043043043043
0.044044044044044,0.012981064262576,0.00193987781575369,0.044044044044044
0.045045045045045,0.0135636001231326,0.00202905608311014,0.045045045045045
0.046046046046046,0.0141582683443864,0.00212023835647459,0.046046046046046
0.047047047047047,0.0147650268000849,0.00221342463584706,0.047047047047047
0.048048048048048,0.0153838333639757,0.00230861492122753,0.048048048048048
0.049049049049049,0.0160146459098063,0.00240580921261602,0.049049049049049
0.0500500500500501,0.0166574223113245,0.00250500751001252,0.0500500500500501
0.0510510510510511,0.0173121204422776,0.00260620981341702,0.0510510510510511
0.0520520520520521,0.0179786981764134,0.00270941612282954,0.0520520520520521
0.0530530530530531,0.0186571133874794,0.00281462643825006,0.0530530530530531
0.0540540540540541,0.0193473239492231,0.0029218407596786,0.0540540540540541
0.0550550550550551,0.0200492877353923,0.00303105908711514,0.0550550550550551
0.0560560560560561,0.0207629626197343,0.0031422814205597,0.0560560560560561
0.0570570570570571,0.0214883064759969,0.00325550776001226,0.0570570570570571
0.0580580580580581,0.0222252771779275,0.00337073810547284,0.0580580580580581
0.0590590590590591,0.0229738325992739,0.00348797245694143,0.0590590590590591
0.0600600600600601,0.0237339306137834,0.00360721081441802,0.0600600600600601
0.0610610610610611,0.0245055290952039,0.00372845317790263,0.0610610610610611
0.0620620620620621,0.0252885859172827,0.00385169954739524,0.0620620620620621
0.0630630630630631,0.0260830589537675,0.00397694992289587,0.0630630630630631
0.0640640640640641,0.0268889060784059,0.0041042043044045,0.0640640640640641
0.0650650650650651,0.0277060851649454,0.00423346269192115,0.0650650650650651
0.0660660660660661,0.0285345540871337,0.00436472508544581,0.0660660660660661
0.0670670670670671,0.0293742707187183,0.00449799148497847,0.0670670670670671
0.0680680680680681,0.0302251929334467,0.00463326189051915,0.0680680680680681
0.0690690690690691,0.0310872786050667,0.00477053630206783,0.0690690690690691
0.0700700700700701,0.0319604856073256,0.00490981471962453,0.0700700700700701
0.0710710710710711,0.0328447718139712,0.00505109714318923,0.0710710710710711
0.0720720720720721,0.033740095098751,0.00519438357276195,0.0720720720720721
0.0730730730730731,0.0346464133354127,0.00533967400834268,0.0730730730730731
0.0740740740740741,0.0355636843977036,0.00548696844993141,0.0740740740740741
0.0750750750750751,0.0364918661593715,0.00563626689752816,0.0750750750750751
0.0760760760760761,0.0374309164941639,0.00578756935113292,0.0760760760760761
0.0770770770770771,0.0383807932758284,0.00594087581074568,0.0770770770770771
0.0780780780780781,0.0393414543781127,0.00609618627636646,0.0780780780780781
0.0790790790790791,0.0403128576747641,0.00625350074799524,0.0790790790790791
0.0800800800800801,0.0412949610395304,0.00641281922563204,0.0800800800800801
0.0810810810810811,0.0422877223461592,0.00657414170927685,0.0810810810810811
0.0820820820820821,0.0432910994683979,0.00673746819892966,0.0820820820820821
0.0830830830830831,0.0443050502799942,0.00690279869459049,0.0830830830830831
0.0840840840840841,0.0453295326546957,0.00707013319625932,0.0840840840840841
0.0850850850850851,0.0463645044662499,0.00723947170393617,0.0850850850850851
0.0860860860860861,0.0474099235884044,0.00741081421762103,0.0860860860860861
0.0870870870870871,0.0484657478949068,0.00758416073731389,0.0870870870870871
0.0880880880880881,0.0495319352595047,0.00775951126301477,0.0880880880880881
0.0890890890890891,0.0506084435559456,0.00793686579472365,0.0890890890890891
0.0900900900900901,0.0516952306579772,0.00811622433244055,0.0900900900900901
0.0910910910910911,0.052792254439347,0.00829758687616546,0.0910910910910911
0.0920920920920921,0.0538994727738026,0.00848095342589837,0.0920920920920921
0.0930930930930931,0.0550168435350915,0.0086663239816393,0.0930930930930931
0.0940940940940941,0.0561443245969614,0.00885369854338823,0.0940940940940941
0.0950950950950951,0.0572818738331599,0.00904307711114518,0.0950950950950951
0.0960960960960961,0.0584294491174344,0.00923445968491014,0.0960960960960961
0.0970970970970971,0.0595870083235326,0.0094278462646831,0.0970970970970971
0.0980980980980981,0.0607545093252021,0.00962323685046408,0.0980980980980981
0.0990990990990991,0.0619319099961905,0.00982063144225306,0.0990990990990991
0.1001001001001,0.0631191682102453,0.0100200300400501,0.1001001001001
0.101101101101101,0.0643162418411141,0.0102214326438551,0.101101101101101
0.102102102102102,0.0655230887625445,0.0104248392536681,0.102102102102102
0.103103103103103,0.066739666848284,0.0106302498694891,0.103103103103103
0.104104104104104,0.0679659339720803,0.0108376644913181,0.104104104104104
